INDEX:198:<ulong>,amplitude:198:<double>,average:198:<double>,change_percentage:198:<double>,close_price:198:<double>,divergence_h_highest:198:<double>,divergence_h_lowest:198:<double>,highest_price:198:<double>,lowest_price:198:<double>,ma10:198:<double>,ma20:198:<double>,ma3:198:<double>,ma30:198:<double>,ma5:198:<double>,ma60:198:<double>,name:198:<string>,nonrest_float_amount:198:<double>,open_price:198:<double>,ticker:198:<string>,trade_date:198:<string>,tradestatus:198:<double>,turnover_amount:198:<double>,turnover_rate:198:<double>,turnover_vol:198:<double>,turnover_vol_ratio:198:<double>
144,3.34,73.22,-0.7,73.48,1,68,74.88,72.41,77.86,79.96,74.72,81.07,75.69,80.98,,0,74.88,300861,2021-12-07,1,145097478.35,1.13,198174900,1.01
145,3.21,72.87,-0.71,72.96,1,69,74.68,72.32,76.85,79.41,73.48,80.64,74.63,80.8,,0,73.21,300861,2021-12-08,1,150738330.21,1.18,206862800,1.17
146,1.52,72.75,-0.45,72.63,1,1,73.49,72.38,75.96,78.94,73.02,80.28,73.95,80.64,,0,72.5,300861,2021-12-09,1,112141208.71,0.88,154144300,0.82
147,3.03,73.94,2.55,74.48,2,1,74.6,72.4,75.5,78.54,73.36,80,73.51,80.52,,0,72.44,300861,2021-12-10,1,163501625.61,1.26,221138100,1.23
148,1.6,74.07,-0.5,74.11,4,1,74.78,73.59,75.1,78.17,73.74,79.62,73.53,80.41,,0,74.78,300861,2021-12-13,1,83460065.45,0.64,112683900,0.57
149,3.95,74.99,1.51,75.23,6,2,76.23,73.3,74.79,77.99,74.61,79.32,73.88,80.33,,0,73.81,300861,2021-12-14,1,95053768.68,0.72,126756600,0.71
150,1.57,75.26,-0.13,75.13,1,1,75.88,74.7,74.47,77.74,74.82,79.11,74.32,80.25,,0,74.73,300861,2021-12-15,1,71951174.76,0.54,95603000,0.58
151,1.65,75.54,0.56,75.55,2,1,75.95,74.71,74.43,77.45,75.3,78.86,74.9,80.2,,0,74.71,300861,2021-12-16,1,67446435.64,0.51,89288400,0.63
152,4.5,73.03,-4.3,72.3,1,76,75.4,72,73.99,76.98,74.33,78.53,74.46,80.11,,0,75,300861,2021-12-17,1,153673272.92,1.2,210436400,1.63
153,4.29,70.28,-3.28,69.93,1,77,72.1,69,73.58,76.23,72.59,78.21,73.63,79.94,,0,72.1,300861,2021-12-20,1,110640189.84,0.9,157425200,1.24
154,4.33,69.53,-0.23,69.77,1,78,71.31,68.28,73.21,75.54,70.67,77.71,72.54,79.84,,0,69.95,300861,2021-12-21,1,66441190.05,0.54,95561200,0.7
155,4.62,71.27,2.85,71.76,3,1,72.69,69.47,73.09,74.97,70.49,77.3,71.86,79.67,,0,70.6,300861,2021-12-22,1,107096629.78,0.86,150270200,1.16
156,4.57,73.25,3.21,74.06,4,1,74.33,71.05,73.23,74.59,71.86,77.04,71.56,79.56,,0,71.91,300861,2021-12-23,1,118606374.51,0.92,161927200,1.15
157,2.84,73.68,0.77,74.63,5,1,74.9,72.8,73.25,74.37,73.48,76.78,72.03,79.41,,0,73.94,300861,2021-12-24,1,87924074.2,0.68,119332000,0.77
158,3.04,72.87,-3.42,72.08,1,2,74.31,72.04,73.04,74.07,73.59,76.46,72.46,79.27,,0,73.8,300861,2021-12-27,1,89679038.13,0.7,123072000,0.9
159,5.02,73.92,3.93,74.91,7,3,75,71.38,73.01,73.9,73.87,76.33,73.49,79.16,,0,71.38,300861,2021-12-28,1,142437365.92,1.1,192702900,1.48
160,4.43,75.02,0.59,75.35,17,1,76.46,73.14,73.03,73.75,74.11,76.17,74.21,79.14,,0,74.53,300861,2021-12-29,1,128453460.88,0.98,171216600,1.15
161,1.84,75.3,0,75.35,1,1,75.88,74.49,73.01,73.72,75.2,75.97,74.46,79.09,,0,75.01,300861,2021-12-30,1,78373524.2,0.59,104086500,0.68
162,6.72,78.56,3.21,77.77,25,1,80.56,75.5,73.56,73.77,76.16,75.84,75.09,79.1,,0,75.6,300861,2021-12-31,1,314742138.85,2.28,400633200,2.82
163,5.94,76.1,-3.64,74.94,1,3,78.77,74.15,74.06,73.82,76.02,75.51,75.66,79.07,,0,77.62,300861,2022-01-04,1,125911148.05,0.94,165460300,0.83
164,5.46,73.55,-2.22,73.28,1,5,76.3,72.21,74.41,73.81,75.33,75.16,75.34,79.02,,0,74.95,300861,2022-01-05,1,100658109.75,0.78,136861100,0.66
165,4.95,70.99,-2.97,71.1,1,10,73.49,69.86,74.35,73.72,73.11,74.76,74.49,78.86,,0,73.28,300861,2022-01-06,1,134811014.09,1.08,189906500,0.97
166,3.59,71.91,0.7,71.6,1,1,73.31,70.76,74.1,73.67,71.99,74.43,73.74,78.69,,0,71.47,300861,2022-01-07,1,105601190.02,0.84,146850000,0.74
167,3.88,70.46,-1.49,70.53,1,13,71.86,69.08,73.69,73.47,71.08,74.15,72.29,78.5,,0,70.5,300861,2022-01-10,1,123247056.94,1,174914300,0.84
168,7.05,68.02,-2.95,68.45,1,93,71.68,66.71,73.33,73.19,70.19,73.82,70.99,78.23,,120.169429,70.54,300861,2022-01-11,1,223317476.7,1.87,328319700,2.02
169,4.85,68.54,-0.8,67.9,0,0,70.6,67.28,72.63,72.82,68.96,73.48,69.92,77.98,,119.20386,69,300861,2022-01-12,1,136488724.76,1.13,199129100,1.02
170,3.78,66.42,-2.55,66.17,0,0,68.17,65.6,71.71,72.37,67.51,73.07,68.93,77.68,,116.166707,68,300861,2022-01-13,1,92423679.36,0.79,139153100,0.67
171,2.09,66.6,0.56,66.54,0,0,67.3,65.92,70.83,71.92,66.87,72.76,67.92,77.4,,116.816272,67.18,300861,2022-01-14,1,65011041.49,0.56,97608900,0.49
